0,00	27,00
5,00	27,30
10,00	27,60
15,00	28,00
20,00	29,00
25,00	30,00
30,00	31,00
35,00	31,00
40,00	32,00
45,00	32,00
50,00	32,00
55,00	32,00
60,00	33,00
65,00	33,50
70,00	34,00
75,00	34,50
80,00	35,00
85,00	35,00
90,00	36,00
95,00	37,00
100,00	38,00
105,00	39,00
110,00	40,00
115,00	41,00
120,00	41,50
125,00	42,00
130,00	44,00
135,00	45,00
140,00	46,50
145,00	48,00
150,00	49,50
155,00	49,00
160,00	50,50
165,00	49,50
170,00	52,00
175,00	54,50
180,00	57,00
185,00	57,50
190,00	58,00
195,00	59,50
200,00	61,50
205,00	65,00
210,00	66,50
215,00	69,00
220,00	70,00
225,00	72,00
230,00	74,00
235,00	78,00
240,00	80,00
245,00	83,00
250,00	87,00
255,00	91,00
260,00	95,00
265,00	100,00
270,00	105,50
275,00	111,00
280,00	119,00
285,00	127,00
290,00	140,00
